127.0.0.1 - - [01/Mar/2019:23:31:18 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:32:34 +0530] "GET /LMS/index.html HTTP/1.1" 200 2326
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:32:41 +0530] "GET /LMS/avatar.png HTTP/1.1" 200 34758
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:32:41 +0530] "GET /LMS/style.css HTTP/1.1" 200 2848
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:33:00 +0530] "GET /LMS/lib1.jpg HTTP/1.1" 200 1893543
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:33:05 +0530] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:36 +0530] "GET /LMS/HomePage.jsp HTTP/1.1" 200 24859
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:37 +0530] "GET /LMS/css/templatemo_style.css HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:37 +0530] "GET /LMS/js/jquery-1-4-2.min.js HTTP/1.1" 200 72328
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:37 +0530] "GET /LMS/js/jquery-ui.min.js HTTP/1.1" 200 207209
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:37 +0530] "GET /LMS/js/showhide.js HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:38 +0530] "GET /LMS/js/cloud-carousel.1.0.5.js HTTP/1.1" 200 12123
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:38 +0530] "GET /LMS/js/jquery.min.js HTTP/1.1" 200 57254
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:38 +0530] "GET /LMS/js/jquery.mousewheel.js HTTP/1.1" 200 1582
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:38 +0530] "GET /LMS/js/ddsmoothmenu.js HTTP/1.1" 200 7320
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:38 +0530] "GET /LMS/css/ddsmoothmenu.css HTTP/1.1" 200 2831
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:38 +0530] "GET /LMS/images/slider/02.jpg HTTP/1.1" 200 18815
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:38 +0530] "GET /LMS/images/slider/01.jpg HTTP/1.1" 200 25953
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:39 +0530] "GET /LMS/images/slider/04.jpg HTTP/1.1" 200 19000
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:39 +0530] "GET /LMS/images/slider/03.jpg HTTP/1.1" 200 18286
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:39 +0530] "GET /LMS/images/slider/05.jpg HTTP/1.1" 200 18884
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:39 +0530] "GET /LMS/images/slider/06.jpg HTTP/1.1" 200 22891
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:39 +0530] "GET /LMS/images/slider/08.jpg HTTP/1.1" 200 15839
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:39 +0530] "GET /LMS/images/slider/07.jpg HTTP/1.1" 200 14799
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:40 +0530] "GET /LMS/images/templatemo_image_04.jpg HTTP/1.1" 200 8781
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:40 +0530] "GET /LMS/images/templatemo_image_01.jpg HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:40 +0530] "GET /LMS/images/templatemo_image_02.jpg HTTP/1.1" 200 1324
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:40 +0530] "GET /LMS/images/templatemo_image_03.jpg HTTP/1.1" 200 1170
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:41 +0530] "GET /LMS/images/templatemo_bg_homepage.jpg HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:41 +0530] "GET /LMS/images/feed.png HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:41 +0530] "GET /LMS/images/youtube.png HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:41 +0530] "GET /LMS/images/flickr.png HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:41 +0530] "GET /LMS/images/templatemo_smm.png HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:41 +0530] "GET /LMS/images/templatemo_header_dividier.png HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:41 +0530] "GET /LMS/images/facebook.png HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:41 +0530] "GET /LMS/images/templatemo_menu_hover.png HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:41 +0530] "GET /LMS/images/templatemo_logo.png HTTP/1.1" 200 2358
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:41 +0530] "GET /LMS/images/templatemo_footer_header_right.png HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:41 +0530] "GET /LMS/images/templatemo_list.png HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:41 +0530] "GET /LMS/images/templatemo_slider_right.png HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:41 +0530] "GET /LMS/images/templatemo_slider_left.png HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:41 +0530] "GET /LMS/images/templatemo_footer_header_left.png HTTP/1.1" 200 353
